route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
E,27955434,"Grenoble, Louise Michel",1234567-MGHD01_ST6_1_HI2324,0,SEM_E_2,1,2
A,28031285,"Fontaine, La Poya",12345-MEHLV04_ST8_4_HI2324-MEHW04_ST11_4_HI2324,1,SEM_A_4,1,2
5,27803324,"Gières, Universités - Biologie",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,1,SEM_C5_2,1,2
A,28214935,"Fontaine, La Poya",1234567-MEHS03_ST5_3_HI2324,1,SEM_A_4,1,2
42,28020624,"La Tronche, Grand Sablon",12345-MFVLV09_ST21_9_HI2324,0,SEM_42_2,1,2
12,27986004,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS00_ST5_0_HI2324-MEHS03_ST5_3_HI2324-MEHS04_ST5_4_HI2324,1,SEM_12_1,1,2
C,28070394,"Gières, Plaine des Sports",12345-MGHLV11_ST0_11_HI2324-MGHLV12_ST0_12_HI2324,0,SEM_C_1,1,2
70,28019428,"Champ-sur-Drac, La Melle",1234567-MFHS12_ST5_12_HI2324-MFHS14_ST5_14_HI2324,1,,1,2
85,28070222,"Fontanil-Cornillon, Fontanil - Palluel",12345-MGHLV12_ST0_12_HI2324,1,,1,2
A,28110120,"Fontaine, La Poya",12345-MEHLV03_ST8_3_HI2324,1,SEM_A_4,1,2
5,28086958,"Grenoble, Palais de Justice - Gare",12345-MSHLVH02_ST8_2_HI2324-MSHLW02_ST11_2_HI2324,0,SEM_C5_1,1,2
A,28109918,"Fontaine, La Poya",12345-MEHLV03_ST8_3_HI2324,1,SEM_A_4,1,2
1,27772328,"Grenoble, Cité Jean Macé",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,1,SEM_C1_4,1,2
E,28112117,"Grenoble, Louise Michel",12345-MGHLV12_ST0_12_HI2324,0,SEM_E_2,1,2
4,27984592,"Grenoble, Victor Hugo",1234567-MEHS00_ST5_0_HI2324-MEHS03_ST5_3_HI2324-MEHS04_ST5_4_HI2324,1,SEM_C4_2,1,2
12,27996191,"Eybens, Maisons Neuves",12345-MEILV08_ST21_8_HI2324,0,SEM_12_2,1,2
